M35-A;1;Peter Glončák;TJ Slávia Farmaceut Bratislava;SVK;30:30
M35-A;2;Vitaliy Kandibey;SKIF Sumy;SVK;33:06;+2:36
M35-A;3;Marián Mikluš;TJ Rapid Bratislava;SVK;36:43;+6:13
M35-A;4;Jaroslav Vítek;OK Jihlava;SVK;37:26;+6:56
M35-A;5;Milan Dudra;Klub OB Kysak;SVK;40:25;+9:55
M35-A;6;Juraj Mihalič;Klub OB ATU Košice;SVK;41:43;+11:13
M35-A;7;Július Porubský;ŠK Triturus Nitra;SVK;42:16;+11:46
M35-A;8;Miroslav Lago;ŠK VAZKA Bratislava;SVK;42:27;+11:57
M35-A;9;Gábor Venczel;Kalocsai SE;SVK;44:09;+13:39
M35-A;10;Peter Szakal;Kalocsai SE;SVK;52:41;+22:11
M35-A;11;Jan Videcky;Klub vytrvalostních sportů Šumperk;SVK;118:22;+87:52
M40-A;1;Dénes Zoltán;Kalocsai SE;SVK;26:22
M40-A;2;Viktor Nagy;Kalocsai SE;SVK;29:55;+3:33
M40-A;3;Håkan Andersson;Halmstad OK;SVK;34:20;+7:58
M40-A;4;Csaba Baksa;Kalocsai SE;CZE;35:18;+8:56
M40-A;5;Martin Borský;TJ Slávia Farmaceut Bratislava;SVK;35:28;+9:06
M40-A;6;Peter Krnáč;Viatoris;SVK;39:13;+12:51
M40-A;7;Ivan Kuzevič;Klub OB ATU Košice;SVK;39:19;+12:57
M40-A;8;Petr Byrtus;TJ TŽ Třinec;SVK;40:12;+13:50
M40-A;9;Skaidrius Juška;Gervės;SVK;41:30;+15:08
M40-A;10;Marek Urban;Športový klub Sandberg;SVK;43:58;+17:36
M40-A;11;János Mráz;Kalocsai SE;SVK;46:59;+20:37
M40-A;12;Martin Feřt;Slavia Liberec orienteering - VLI;SVK;47:53;+21:31
M40-A;13;Jozef Paluska;TJ Slávia Farmaceut Bratislava;HUN;51:20;+24:58
M40-A;14;Ivan Kotuliak;TJ Slávia Farmaceut Bratislava;SVK;70:56;+44:34
M40-A;Milan Šimoník;ŠK HADVEO Banská Bystrica;SVK;MP
M45-A;1;Nándor Borbás;Kalocsai SE;SVK;27:05
M45-A;2;Mykhaylo Gutak;O-club Kyiv;SVK;27:54;+0:49
M45-A;3;Karol Hierweg;KOBRA Bratislava;SVK;29:58;+2:53
M45-A;4;Laurence Townley;Southern Navigators;GBR;30:03;+2:58
M45-A;5;Luboš Semík;SK Kamenice;SVK;31:22;+4:17
M45-A;6;Michal Zejdlik;TJ Lokomotiva Teplice;SVK;33:50;+6:45
M45-A;7;Attila Bader;Mazsola Tájfutó és Természetbarát Sportegyesület;SVK;33:54;+6:49
M45-A;8;Peter Vandlíček;Slávia Žilinská univerzita Žilina;SVK;34:24;+7:19
M45-A;9;Peter Mlynárik;ŠK VAZKA Bratislava;SVK;34:36;+7:31
M45-A;10;Zdeněk Vlastník;OK Jilemnice;SVK;34:47;+7:42
M45-A;11;Valér Franko;Klub OB Kysak;SVK;36:13;+9:08
M45-A;12;Tomáš Podivínský;OK Sparta Praha;SVK;38:21;+11:16
M45-A;13;Robert Laznicka;SKOB Zlin;SVK;39:17;+12:12
M45-A;14;Milan Kováč;ŠK VAZKA Bratislava;SVK;41:50;+14:45
M45-A;15;Milan Svěchota;SKOB Ostrava;SVK;42:30;+15:25
M45-A;16;Abrahám Hofhanzl;OK Jihlava;SVK;42:42;+15:37
M45-A;17;Pavol Šoltés;KOB Čingov Spišská Nová Ves;SVK;46:08;+19:03
M45-A;18;Juraj Vajduliak;Neregistrovani/ No Club/ Vereinslos;SVK;46:24;+19:19
M45-A;19;Richard Balogh;Športový klub Sandberg;SVK;47:20;+20:15
M45-A;20;Zdeněk Ježek;OK Jilemnice;SVK;49:34;+22:29
M45-A;21;Martin Waldhauser;OK JISKRA NOVY BOR;SVK;51:18;+24:13
M45-A;22;Peter Borčin;nereg. Klub OB BOR Topoľčianky;SVK;52:31;+25:26
M45-A;23;Michal Patassi;TJ Slávia Farmaceut Bratislava;SVK;53:21;+26:16
M45-A;24;Ladislav Kasza;TJ Slávia Farmaceut Bratislava;SVK;53:40;+26:35
M45-A;25;Jaromír Mielec;OOB TJ Baník Ostrava;SVK;54:28;+27:23
M45-A;26;René Vavřík;SKOB Ostrava;SVK;64:13;+37:08
M45-A;27;Honza Holec;SKOB Ostrava;SVK;79:30;+52:25
M45-A;28;Marek Turanský;Continental Sportclub Zvolen;SVK;114:42;+87:37
M45-B;1;Martin Kunz;OK Ursus;SVK;24:54
M45-B;2;Gabor Acs;ZTC;SVK;31:39;+6:45
M45-B;3;Radek Vébr;OB Havířov;SVK;35:21;+10:27
M45-B;4;Milan Sudovský;ŠK Cart print Nitra;SVK;39:03;+14:09
M45-B;5;Dušan Hýbl;SK Prostějov;SVK;41:10;+16:16
M45-B;6;Dan Hošťálek;KOS TJ Lokomotiva Krnov;SVK;44:27;+19:33
M45-B;7;János Kovács;Kalocsai SE;SVK;46:06;+21:12
M45-B;8;Pavel Řezáč;Slavia Liberec orienteering - VLI;SVK;57:53;+32:59
M50-A;1;József Varga;Soproni MAFC;SVK;28:35
M50-A;2;Tamás dr. Mohácsy;Salgotarjani Dornyay SE;SVK;30:28;+1:53
M50-A;3;Andrej Zelenin;USG Chemnitz;SVK;32:23;+3:48
M50-A;4;Jerzy Antonowicz;SK SKI-OB Šternberk;SVK;32:32;+3:57
M50-A;5;Anton Kniebügl;KOBRA Bratislava;SVK;33:51;+5:16
M50-A;6;František Šoltés;KOB Čingov Spišská Nová Ves;SVK;35:16;+6:41
M50-A;7;Petr Bílý;TJ Lokomotiva Teplice;SVK;36:49;+8:14
M50-A;8;Stanislav Rachůnek;OK Jihlava;SVK;37:59;+9:24
M50-A;9;Martin Barč;KOB Čingov Spišská Nová Ves;SVK;40:04;+11:29
M50-A;10;Jaro Halač;Outdoor PRG;SVK;44:03;+15:28
M50-A;11;József Török;Salgotarjani Dornyay SE;HUN;46:30;+17:55
M50-A;12;Emil Kukurugya;Športový klub Sandberg;CZE;49:51;+21:16
M50-A;13;Oleg Postelniak;SKIF Sumy;SVK;51:16;+22:41
M50-A;14;Roman Ščehovič;TJ Slávia Ekonóm UMB Banská Bystrica;SVK;52:51;+24:16
M50-A;15;Róbert Schenk;TJ Rapid Bratislava;SVK;61:21;+32:46
M55-A;1;Oleksandr  Palahniuk;O-club Kyiv;SVK;25:02
M55-A;2;Ladislav Lužný;OB Havířov;SVK;28:12;+3:10
M55-A;3;Molnár Tibor;Soproni MAFC;SVK;28:14;+3:12
M55-A;4;Ferenc Szlatényi;Soproni MAFC;CZE;30:25;+5:23
M55-A;5;Vytautas Bikelis;OK Labirintas;SVK;30:51;+5:49
M55-A;6;Petr Kaňák;KCTM Vysočina;SVK;31:54;+6:52
M55-A;7;Jaroslav Argaláš;TJ TŽ Třinec;SVK;32:16;+7:14
M55-A;8;Miroslav Chmelař;SK Prostějov;SVK;32:44;+7:42
M55-A;9;Peter Ďurčo;TJ Slávia Ekonóm UMB Banská Bystrica;SVK;33:45;+8:43
M55-A;10;Ivan Repáč;TJ Slávia Ekonóm UMB Banská Bystrica;SVK;35:22;+10:20
M55-A;11;Volodymyr Kudrin;O-club Kyiv;SVK;35:37;+10:35
M55-A;12;Jaroslav Zeman;KCTM Vysočina;SVK;35:43;+10:41
M55-A;13;Ján Štubňa;TJ Rapid Bratislava;SVK;36:13;+11:11
M55-A;14;Andras Zempleni;MOM Budapest;SVK;36:56;+11:54
M55-A;15;Karel Kovar;TJ Lokomotiva Teplice;SVK;39:30;+14:28
M55-A;16;Jaroslav Hubáček;TJ Slovan Luhačovice;SVK;40:51;+15:49
M55-A;17;Jaroslav Kollár;Klub OB Kysak;SVK;41:37;+16:35
M55-A;18;Vitalii  Petrov;O-club Kyiv;SVK;42:00;+16:58
M55-A;19;Karol Janšo;Klub OB ATU Košice;SVK;43:31;+18:29
M55-A;20;Ján Košut;ROB klub Kysuca;SVK;44:01;+18:59
M55-A;21;Miroslav Palička;KOB Čingov Spišská Nová Ves;SVK;46:44;+21:42
M55-A;22;Georg Pregartner;SKV OLG Deutsch Kaltenbrunn;SVK;47:22;+22:20
M55-A;23;Dušan Formanko;TJ Rapid Bratislava;SVK;48:44;+23:42
M55-A;24;Dušan Rybár;TJ Rapid Bratislava;SVK;49:17;+24:15
M55-A;25;Svatopluk  Galík;SKOB Zlin;SVK;50:50;+25:48
M55-A;26;Aleš Petráček;KCTM Vysočina;SVK;54:06;+29:04
M55-A;27;Milan Borovička;VSK ČVUT Fakulta Stavební Praha;SVK;74:45;+49:43
M55-A;28;Vladimír Tysz;Klub OB ATU Košice;SVK;184:19;+159:17
M55-A;Gheorghe Nicu;RIVULUS DOMINARUM  Baia Mare;CZE;MP
M60-A;1;Jaroslav Piják;Klub OB Sokol Pezinok;SVK;24:24
M60-A;2;Zdenek Jakobi;OB Havířov;SVK;28:49;+4:25
M60-A;3;Ján Mižúr;TJ Slávia Farmaceut Bratislava;SVK;30:26;+6:02
M60-A;4;Mihály Fehér;Kecskeméti Önkormányzati Dolgozók Szabadidősport Klubja;SVK;32:14;+7:50
M60-A;5;Evžen Kostka;Orientacni Beh Opava;SVK;33:10;+8:46
M60-A;6;Pavel Běhoun;OK99 Hradec Králové;SVK;33:23;+8:59
M60-A;7;Miroslav Bialožyt;TJ TŽ Třinec;SVK;34:00;+9:36
M60-A;8;Sandor Balla;HSE;SVK;34:58;+10:34
M60-A;9;Ivan Oravec;Klub OB Sokol Pezinok;SVK;35:05;+10:41
M60-A;10;Slávko Žilinčík;Klub OB ATU Košice;SVK;37:31;+13:07
M60-A;11;Mircea Pop;RIVULUS DOMINARUM  Baia Mare;SVK;39:20;+14:56
M60-A;12;Anton Onder;Klub OB ATU Košice;SVK;42:12;+17:48
M60-A;13;Josef Juřeník;SKOB Ostrava;SVK;43:03;+18:39
M60-A;14;Vidimantas Arasimavicius;OK Labirintas;SVK;43:48;+19:24
M60-A;15;Miklós Kéki;Szegedi Vasutas SE;SVK;48:37;+24:13
M60-A;16;Pavol Poláček;Klub OB Sokol Pezinok;SVK;48:43;+24:19
M60-A;17;Jiri Pech;OK Lokomotiva Plzeň;SVK;50:31;+26:07
M60-A;18;Vaclav Potesil;VSK Mendelu Brno;SVK;65:17;+40:53
M65-A;1;Mykola Bozhko;O-club Kyiv;SVK;19:17
M65-A;2;Kostas Dūda;OK Labirintas;SVK;23:46;+4:29
M65-A;3;Bernardas Eimaitis;OK Labirintas;SVK;23:58;+4:41
